PID   USER     TIME  COMMAND
    1 root      0:01 bash /init
    2 root      0:00 [kthreadd]
    3 root      0:00 [rcu_gp]
    4 root      0:00 [rcu_par_gp]
    6 root      0:00 [kworker/0:0H]
    7 root      0:00 [kworker/u16:0]
    8 root      0:00 [mm_percpu_wq]
    9 root      0:00 [ksoftirqd/0]
   10 root      0:00 [rcu_preempt]
   11 root      0:00 [rcu_sched]
   12 root      0:00 [rcu_bh]
   13 root      0:00 [rcuop/0]
   14 root      0:00 [rcuos/0]
   15 root      0:00 [rcuob/0]
   16 root      0:00 [migration/0]
   17 root      0:00 [cpuhp/0]
   18 root      0:00 [cpuhp/1]
   19 root      0:00 [migration/1]
   20 root      0:00 [ksoftirqd/1]
   21 root      0:00 [kworker/1:0]
   22 root      0:00 [kworker/1:0H]
   23 root      0:00 [rcuop/1]
   24 root      0:00 [rcuos/1]
   25 root      0:00 [rcuob/1]
   26 root      0:00 [cpuhp/2]
   27 root      0:00 [migration/2]
   28 root      0:00 [ksoftirqd/2]
   29 root      0:00 [kworker/2:0]
   30 root      0:00 [kworker/2:0H]
   31 root      0:00 [rcuop/2]
   32 root      0:00 [rcuos/2]
   33 root      0:00 [rcuob/2]
   34 root      0:00 [cpuhp/3]
   35 root      0:00 [migration/3]
   36 root      0:00 [ksoftirqd/3]
   37 root      0:00 [kworker/3:0]
   38 root      0:00 [kworker/3:0H]
   39 root      0:00 [rcuop/3]
   40 root      0:00 [rcuos/3]
   41 root      0:00 [rcuob/3]
   42 root      0:00 [cpuhp/4]
   43 root      0:00 [migration/4]
   44 root      0:00 [ksoftirqd/4]
   45 root      0:00 [kworker/4:0]
   46 root      0:00 [kworker/4:0H]
   47 root      0:00 [rcuop/4]
   48 root      0:00 [rcuos/4]
   49 root      0:00 [rcuob/4]
   50 root      0:00 [cpuhp/5]
   51 root      0:00 [migration/5]
   52 root      0:00 [ksoftirqd/5]
   53 root      0:00 [kworker/5:0]
   54 root      0:00 [kworker/5:0H]
   55 root      0:00 [rcuop/5]
   56 root      0:00 [rcuos/5]
   57 root      0:00 [rcuob/5]
   58 root      0:00 [cpuhp/6]
   59 root      0:00 [migration/6]
   60 root      0:00 [ksoftirqd/6]
   61 root      0:00 [kworker/6:0]
   62 root      0:00 [kworker/6:0H]
   63 root      0:00 [rcuop/6]
   64 root      0:00 [rcuos/6]
   65 root      0:00 [rcuob/6]
   66 root      0:00 [cpuhp/7]
   67 root      0:00 [migration/7]
   68 root      0:00 [ksoftirqd/7]
   69 root      0:00 [kworker/7:0]
   70 root      0:00 [kworker/7:0H]
   71 root      0:00 [rcuop/7]
   72 root      0:00 [rcuos/7]
   73 root      0:00 [rcuob/7]
   74 root      0:00 [netns]
   75 root      0:00 [rcu_tasks_kthre]
   76 root      0:00 [kworker/u16:1]
   77 root      0:00 [kworker/u17:0]
   78 root      0:00 [ipa_usb_wq]
   80 root      0:00 [msm_watchdog]
   81 root      0:00 [spi_wdsp]
   82 root      0:00 [qmp_aop]
   83 root      0:00 [oom_reaper]
   84 root      0:00 [writeback]
   85 root      0:00 [kcompactd0]
   86 root      0:00 [crypto]
   87 root      0:00 [kblockd]
   88 root      0:00 [blk_crypto_wq]
   89 root      0:00 [kswapd0]
   90 root      0:00 [irq/102-arm-smm]
   91 root      0:00 [irq/103-arm-smm]
   92 root      0:00 [irq/112-arm-smm]
   93 root      0:00 [irq/80-tsens-up]
   94 root      0:00 [irq/81-tsens-cr]
   95 root      0:00 [irq/82-tsens-up]
   96 root      0:00 [irq/83-tsens-cr]
   97 root      0:00 [edac-poller]
   98 root      0:00 [system]
   99 root      0:00 [ipa_power_mgmt]
  100 root      0:00 [transport_power]
  101 root      0:00 [ipa_pm_activate]
  102 root      0:00 [devfreq_wq]
  103 root      0:00 [cfg80211]
  104 root      0:00 [irq/60-qpnp_lcd]
  155 root      0:00 [kauditd]
  156 root      0:00 [ecryptfs-kthrea]
  202 root      0:00 [irq/33-wled_ovp]
  203 root      0:00 [irq/70-wled_fla]
  204 root      0:00 [irq/61-wled_pre]
  205 root      0:00 [irq/117-arm-smm]
  206 root      0:00 [irq/118-arm-smm]
  207 root      0:00 [irq/18-smp2p]
  208 root      0:00 [irq/19-smp2p]
  209 root      0:00 [irq/20-smp2p]
  210 root      0:00 [mem_share_svc]
